FERMI GBM data for time interval: 17-Apr-2024 21:50:03.141 to 17-Apr-2024 22:28:10.988
Current time: 18-Jul-2024 16:39:49.00
Data units: Flux
Energies are binned into spex_eband bins(3 bins)

     Time at center of bin      5.00-10.0      10.0-20.0      20.0-30.0
                                      kev            kev            kev

  17-Apr-2024 22:04:06.930         12.392         5.9354        0.31610
  17-Apr-2024 22:04:11.026         12.842         5.9195        0.29520
  17-Apr-2024 22:04:15.122         13.212         5.9252        0.29965
  17-Apr-2024 22:04:19.219         13.906         6.2768        0.31054
  17-Apr-2024 22:04:23.315         14.373         6.2918        0.30500
  17-Apr-2024 22:04:27.411         14.750         6.3745        0.29002
  17-Apr-2024 22:04:31.507         15.437         6.6632        0.30597
  17-Apr-2024 22:04:35.603         15.836         6.7557        0.28183
  17-Apr-2024 22:04:39.699         16.310         6.7198        0.29343
  17-Apr-2024 22:04:43.795         16.820         7.1858        0.32873
  17-Apr-2024 22:04:47.891         17.362         7.7077        0.34159
  17-Apr-2024 22:04:51.987         18.381         8.2849        0.39747
  17-Apr-2024 22:04:56.083         19.009         8.6814        0.41515
  17-Apr-2024 22:05:00.179         19.711         9.0193        0.44801
  17-Apr-2024 22:05:04.275         20.195         9.1894        0.44588
  17-Apr-2024 22:05:08.371         21.301         9.2108        0.37062
  17-Apr-2024 22:05:12.467         22.054         9.6064        0.37964
  17-Apr-2024 22:05:16.563         23.246         10.138        0.38244
  17-Apr-2024 22:05:20.659         24.580         10.938        0.45213
  17-Apr-2024 22:05:24.756         25.707         11.437        0.46897
  17-Apr-2024 22:05:28.852         26.325         11.709        0.45652
  17-Apr-2024 22:05:32.948         26.814         11.652        0.44054
  17-Apr-2024 22:05:37.044         27.788         11.827        0.40192
  17-Apr-2024 22:05:41.140         28.450         12.223        0.43679
  17-Apr-2024 22:05:45.236         28.731         12.332        0.40599
  17-Apr-2024 22:05:49.332         28.920         12.192        0.40629
  17-Apr-2024 22:05:53.428         29.156         12.357        0.44576
  17-Apr-2024 22:05:57.524         29.651         12.766        0.45987
  17-Apr-2024 22:06:01.620         30.120         12.895        0.45995
  17-Apr-2024 22:06:05.716         30.038         12.282        0.40507
  17-Apr-2024 22:06:09.812         29.833         12.131        0.37066
  17-Apr-2024 22:06:13.908         30.532         12.309        0.36851
  17-Apr-2024 22:06:18.004         30.778         12.137        0.36106
  17-Apr-2024 22:06:22.100         30.579         12.138        0.35097
  17-Apr-2024 22:06:26.197         30.446         12.026        0.34613
  17-Apr-2024 22:06:30.293         30.568         12.046        0.37093
  17-Apr-2024 22:06:34.389         30.581         11.800        0.34577
  17-Apr-2024 22:06:38.485         30.532         11.763        0.33696
  17-Apr-2024 22:06:42.581         30.499         11.471        0.32364
  17-Apr-2024 22:06:46.677         29.903         10.962        0.30890
  17-Apr-2024 22:06:50.773         29.137         10.686        0.31045
  17-Apr-2024 22:06:54.869         29.263         11.104        0.36698
  17-Apr-2024 22:06:58.965         29.966         11.501        0.37608
  17-Apr-2024 22:07:03.061         30.308         12.073        0.42504
  17-Apr-2024 22:07:07.157         30.938         12.934        0.58194
  17-Apr-2024 22:07:11.253         31.144         13.269        0.69966
  17-Apr-2024 22:07:15.349         31.039         12.885        0.72409
  17-Apr-2024 22:07:19.445         30.200         12.182        0.61693
  17-Apr-2024 22:07:23.541         29.955         11.612        0.52660
  17-Apr-2024 22:07:27.637         29.420         11.176        0.46555
  17-Apr-2024 22:07:31.734         29.056         11.270        0.46276
  17-Apr-2024 22:07:35.830         29.300         11.422        0.50919
  17-Apr-2024 22:07:39.926         29.206         11.447        0.49960
  17-Apr-2024 22:07:44.022         29.371         11.405        0.47404
  17-Apr-2024 22:07:48.118         28.701         10.998        0.42375
  17-Apr-2024 22:07:52.214         28.765         10.515        0.37436
  17-Apr-2024 22:07:56.310         28.614         10.489        0.38300
  17-Apr-2024 22:08:00.406         28.149         10.325        0.37867
  17-Apr-2024 22:08:04.502         27.787         10.165        0.38491
  17-Apr-2024 22:08:08.598         27.774         10.235        0.39730
  17-Apr-2024 22:08:12.694         27.566         10.005        0.40313
  17-Apr-2024 22:08:16.790         27.155         9.6004        0.37582
  17-Apr-2024 22:08:20.886         26.751         9.3524        0.35282
  17-Apr-2024 22:08:24.982         26.257         9.0056        0.33669
  17-Apr-2024 22:08:29.078         25.838         8.5598        0.30961
  17-Apr-2024 22:08:33.175         25.345         8.3397        0.30802
  17-Apr-2024 22:08:37.271         24.592         8.0146        0.28104
  17-Apr-2024 22:08:41.367         23.956         7.6196        0.26770
  17-Apr-2024 22:08:45.463         23.560         7.4002        0.25766
  17-Apr-2024 22:08:49.559         22.966         7.2541        0.26913
  17-Apr-2024 22:08:53.655         22.365         6.9409        0.25537
  17-Apr-2024 22:08:57.751         21.592         6.6816        0.25868
  17-Apr-2024 22:09:01.847         21.352         6.4723        0.25276
  17-Apr-2024 22:09:05.943         20.584         6.1892        0.24473
  17-Apr-2024 22:09:10.039         20.095         6.0066        0.24139
  17-Apr-2024 22:09:14.135         19.789         5.9257        0.26009
  17-Apr-2024 22:09:18.231         19.200         5.8184        0.28271
  17-Apr-2024 22:09:22.327         18.683         5.5458        0.27308
  17-Apr-2024 22:09:26.423         17.849         5.3108        0.27613
  17-Apr-2024 22:09:30.519         17.274         5.0192        0.24683
  17-Apr-2024 22:09:34.616         16.692         4.8285        0.24983
  17-Apr-2024 22:09:38.712         16.371         4.7047        0.25262
  17-Apr-2024 22:09:42.808         16.116         4.6420        0.24614
  17-Apr-2024 22:09:46.904         15.607         4.4744        0.24713
  17-Apr-2024 22:09:51.000         15.231         4.2995        0.25151
  17-Apr-2024 22:09:55.096         14.624         4.1557        0.24764
  17-Apr-2024 22:09:59.192         14.428         4.0821        0.23749
  17-Apr-2024 22:10:03.288         13.905         3.8114        0.20559
  17-Apr-2024 22:10:07.384         13.596         3.7096        0.20895
  17-Apr-2024 22:10:11.480         13.285         3.6662        0.22458
  17-Apr-2024 22:10:15.576         12.996         3.5391        0.21753
  17-Apr-2024 22:10:19.672         12.660         3.4706        0.21407
  17-Apr-2024 22:10:23.768         12.261         3.3173        0.20070
  17-Apr-2024 22:10:27.864         11.968         3.2582        0.20559
  17-Apr-2024 22:10:31.960         11.802         3.1115        0.19530
  17-Apr-2024 22:10:36.057         11.403         3.0033        0.19400
  17-Apr-2024 22:10:40.153         11.102         2.9092        0.18999
  17-Apr-2024 22:10:44.249         10.680         2.7915        0.18998
  17-Apr-2024 22:10:48.345         10.562         2.7262        0.18255
  17-Apr-2024 22:10:52.441         10.238         2.6717        0.18042
  17-Apr-2024 22:10:56.537         9.8754         2.5173        0.18408
  17-Apr-2024 22:11:00.633         9.6969         2.4755        0.19835
  17-Apr-2024 22:11:04.729         9.3665         2.4251        0.19198
  17-Apr-2024 22:11:08.825         9.1546         2.3240        0.18030
  17-Apr-2024 22:11:12.921         8.8768         2.2534        0.18221
  17-Apr-2024 22:11:17.017         8.6688         2.1589        0.17899
  17-Apr-2024 22:11:21.113         8.4083         2.1073        0.17321
  17-Apr-2024 22:11:25.209         8.2110         2.0790        0.17918
  17-Apr-2024 22:11:29.305         8.0886         2.0280        0.17694
  17-Apr-2024 22:11:33.401         7.8685         2.0164        0.17706
  17-Apr-2024 22:11:37.498         7.6211         1.9396        0.18664
  17-Apr-2024 22:11:41.594         7.4658         1.8845        0.18729
  17-Apr-2024 22:11:45.690         7.2219         1.8220        0.18025
  17-Apr-2024 22:11:49.786         6.9960         1.7460        0.17065
  17-Apr-2024 22:11:53.882         6.8516         1.6982        0.17298
  17-Apr-2024 22:11:57.978         6.7844         1.7075        0.16894
  17-Apr-2024 22:12:02.074         6.4460         1.6464        0.18485
  17-Apr-2024 22:12:06.170         6.3803         1.5933        0.17861
