Energy,Transmission(keV),counts_nonatt_C5(ct / (keV s)),counts_noatt_M1)(ct / (keV s)),counts_attenuated_C5(ct / (keV s)),counts_attenuated_M1(ct / (keV s))
1.395,2.761730702477611e-09,4.101533847973227,8.579683259865583,1.1327331955198799e-08,2.3694774676303976e-08
1.405,3.720939447352733e-09,4.427168869417438,9.255379127759083,1.6473227286307344e-08,3.44387052966839e-08
1.415,4.975091617793394e-09,4.762980186128511,9.955649920982946,2.369626279972397e-08,4.953027047156772e-08
1.425,6.6028986777437416e-09,5.212289596553863,10.87780224813437,3.441622008510297e-08,7.182502608096433e-08
1.435,8.700754062711436e-09,5.710409678675808,11.90096919163778,4.968487021148525e-08,1.0354740604434605e-07
1.445,1.1385902781685917e-08,6.105707497947483,12.73076709075468,6.951899198504082e-08,1.4495127643161925e-07
1.455,1.4800014083712853e-08,6.525388787136412,13.61225765271544,9.657584595132082e-08,2.0146160497131658e-07
1.465,1.9113180085396153e-08,6.970743840835777,14.54821060991919,1.3323308235906025e-07,2.780625693076565e-07
1.475,2.452836034951952e-08,7.540875077272931,15.74279002663279,1.849653012460613e-07,3.86144826680071e-07
1.485,3.1286288890114054e-08,8.067771971334228,16.85024317888591,2.524106445947276e-07,5.271815759632984e-07
1.495,3.9670855981857956e-08,8.610992095376291,17.99334170936092,3.416054272765901e-07,7.138112675844149e-07
1.505,5.010712757260273e-08,9.186666872918831,19.20554996753533,4.6031748896834726e-07,9.62334942325289e-07
1.515,6.304693603993248e-08,9.796843582758106,20.49119247510292,6.176609707553733e-07,1.2919069013597597e-06
1.525,7.8890438567461e-08,10.44401681418996,21.85556946541998,8.239330668773827e-07,1.7241954602685914e-06
1.535,9.81869556194778e-08,11.19549208660415,23.43776315724837,1.0992512846456165e-06,2.3012826109405773e-06
1.545,1.21568962284107e-07,11.93849100367341,25.00532196988214,1.4513499625547235e-06,3.0398710434585536e-06
1.555,1.497610929528538e-07,12.72372063798254,26.66303807007539,1.9055183091710475e-06,3.99308572281804e-06
1.565,1.8358960892037096e-07,13.56202928412276,28.43350908030465,2.489847652438716e-06,5.220096812286947e-06
1.575,2.2399229118932077e-07,14.44251423906717,30.29459545067689,3.235011854943045e-06,6.78575584565069e-06
1.585,2.72028713633616e-07,15.62161670577676,32.8329073233319,4.249528297349858e-06,8.931493544017707e-06
1.595,3.2889084481971705e-07,17.15787691833053,36.18381076819801,5.643068634982451e-06,1.1900524092349418e-05
1.605,3.9591392032572317e-07,18.26383835032444,38.53967114973693,7.230907841472238e-06,1.525839229295652e-05
1.615,4.7458752144112377e-07,19.43408214021478,41.03421572342079,9.223172874407743e-06,1.9474326734458662e-05
1.625,5.665667907753736e-07,20.67022336126263,43.67076824763775,1.1711062114400722e-05,2.4742407016759205e-05
1.635,6.736837106399352e-07,21.97529283101193,46.45604339224575,1.4804396816795283e-05,3.129667969413796e-05
1.645,7.979583661709918e-07,23.35621970718185,49.40523568867254,1.863729091747355e-05,3.942332115042591e-05
1.655,9.416101120910644e-07,24.81697245493968,52.527039778188,2.336791221505661e-05,4.94599918133514e-05
1.665,1.1070685598135617e-06,26.36170268929596,55.83055754827311,2.9184212230472177e-05,6.180825493855489e-05
1.675,1.296984300307073e-06,27.99444830260093,59.32459967482274,3.6308359944231395e-05,7.694307440024718e-05
1.685,1.514239277772193e-06,29.71844222381938,63.01638240527863,4.50008324895109e-05,9.542188138118544e-05
1.695,1.7619567297443805e-06,31.53821569464621,66.91601134574114,5.5568971387311734e-05,0.00011790311651827991
1.705,2.043510610709141e-06,33.45598247949348,71.0284377279699,6.836765518854403e-05,0.00014514736615919995
1.715,2.3625344186741387e-06,35.47565711739736,75.36236632300107,8.381246096493345e-05,0.00017804618431081881
1.725,2.722929347348376e-06,37.61043257093529,79.94517582983595,0.00010241055061386692,0.00021768506544598634
1.735,3.1288716905799845e-06,39.85359112006997,84.7649003113951,0.0001246967730235368,0.0002652184969391586
1.745,3.5848194304437084e-06,42.21923484982442,89.85059063642053,0.00015134833342811673,0.0003220981431502839
1.755,4.09551794577758e-06,44.72060941848366,95.2310757455136,0.0001831540584195097,0.000390020579711455
1.765,4.666004783970738e-06,47.35185430780707,100.8948100507351,0.0002209439787301132,0.00047077566637454885
1.775,5.3016134453212234e-06,50.1057573886667,106.8280707085101,0.0002656413570597586,0.0005663611360059635
1.785,6.007976136233019e-06,53.00334221724682,113.0753656345737,0.000318442815181811,0.0006793540983283421
1.795,6.7910254548146925e-06,56.07066535672648,119.685464199162,0.00038077731570592587,0.0008127870339478217
1.805,7.656994979997965e-06,59.28168156206612,126.6156994590338,0.0004539195381265782,0.0009694957751467529
1.815,8.612418743025375e-06,62.65342445931599,133.8991985839785,0.0005395975271281375,0.0011531959675607332
1.825,9.664129567977134e-06,66.19263032281891,141.5508819502926,0.0006396941558849341,0.0013679660636290634
