# Original file: FOXSI4_Effective_Areas_2023Oct26-removedComma.txt
# Areas scaled by 1/0.92 to correct for "finite source distance"
# [Effective areas as measured at SLTF at 104m finite source distance to X-ray node]
# SDD detector areas of 4.0mm radius were used for the effective area calculations
# Energy[keV] FM1[cm2] FM2[cm2] FM3[cm2] 
5.940000000000000391e+00 3.532608695652173836e+00 3.336956521739129933e+00 3.032608695652173836e+00
6.089999999999999858e+00 3.619565217391304213e+00 3.228260869565217295e+00 3.086956521739129933e+00
6.250000000000000000e+00 3.510869565217391131e+00 2.423913043478260754e+00 2.989130434782608425e+00
6.400000000000000355e+00 3.239130434782608425e+00 3.695652173913043015e+00 2.847826086956521507e+00
6.549999999999999822e+00 3.586956521739129933e+00 4.576086956521739246e+00 3.032608695652173836e+00
6.709999999999999964e+00 3.576086956521738802e+00 3.347826086956521507e+00 3.152173913043478048e+00
6.860000000000000320e+00 3.597826086956521507e+00 3.010869565217391131e+00 3.097826086956521507e+00
7.009999999999999787e+00 3.521739130434782705e+00 3.369565217391304213e+00 3.086956521739129933e+00
7.169999999999999929e+00 3.586956521739129933e+00 4.391304347826086918e+00 3.065217391304347672e+00
7.320000000000000284e+00 3.445652173913043015e+00 3.336956521739129933e+00 3.021739130434782261e+00
7.480000000000000426e+00 3.271739130434782261e+00 3.141304347826086918e+00 2.913043478260869623e+00
7.629999999999999893e+00 3.554347826086956541e+00 3.423913043478260754e+00 3.108695652173912638e+00
7.780000000000000249e+00 3.586956521739129933e+00 3.423913043478260754e+00 3.043478260869564966e+00
7.940000000000000391e+00 3.630434782608695343e+00 3.423913043478260754e+00 3.097826086956521507e+00
8.089999999999999858e+00 3.641304347826086918e+00 3.478260869565217295e+00 3.130434782608695343e+00
8.240000000000000213e+00 3.510869565217391131e+00 3.173913043478260754e+00 3.043478260869564966e+00
8.400000000000000355e+00 3.684782608695652328e+00 3.695652173913043015e+00 3.250000000000000000e+00
8.550000000000000711e+00 3.663043478260869623e+00 3.543478260869564966e+00 3.141304347826086918e+00
8.699999999999999289e+00 3.630434782608695343e+00 3.478260869565217295e+00 3.184782608695652328e+00
8.859999999999999432e+00 3.641304347826086918e+00 3.434782608695652328e+00 3.130434782608695343e+00
9.009999999999999787e+00 3.586956521739129933e+00 3.510869565217391131e+00 3.032608695652173836e+00
9.169999999999999929e+00 3.695652173913043015e+00 3.510869565217391131e+00 3.141304347826086918e+00
9.320000000000000284e+00 3.641304347826086918e+00 3.445652173913043015e+00 3.130434782608695343e+00
9.470000000000000639e+00 3.565217391304347228e+00 3.347826086956521507e+00 3.086956521739129933e+00
9.630000000000000782e+00 3.608695652173912638e+00 3.586956521739129933e+00 3.130434782608695343e+00
9.779999999999999361e+00 3.619565217391304213e+00 3.445652173913043015e+00 3.119565217391304213e+00
9.929999999999999716e+00 3.597826086956521507e+00 3.543478260869564966e+00 3.152173913043478048e+00
1.008999999999999986e+01 3.608695652173912638e+00 3.500000000000000000e+00 3.021739130434782261e+00
1.024000000000000021e+01 3.554347826086956541e+00 3.500000000000000000e+00 3.065217391304347672e+00
1.040000000000000036e+01 3.608695652173912638e+00 3.510869565217391131e+00 3.108695652173912638e+00
1.055000000000000071e+01 3.565217391304347228e+00 3.456521739130434590e+00 3.119565217391304213e+00
1.069999999999999929e+01 3.586956521739129933e+00 3.402173913043478048e+00 3.065217391304347672e+00
1.085999999999999943e+01 3.630434782608695343e+00 3.478260869565217295e+00 3.108695652173912638e+00
1.100999999999999979e+01 3.434782608695652328e+00 3.402173913043478048e+00 2.880434782608695343e+00
1.116000000000000014e+01 2.793478260869564966e+00 2.663043478260869623e+00 2.369565217391304213e+00
1.132000000000000028e+01 2.532608695652173836e+00 2.423913043478260754e+00 2.065217391304347672e+00
1.147000000000000064e+01 2.543478260869564966e+00 2.434782608695652328e+00 2.163043478260869623e+00
1.163000000000000078e+01 2.619565217391304213e+00 2.489130434782608425e+00 2.108695652173913082e+00
1.177999999999999936e+01 2.586956521739130377e+00 2.456521739130434590e+00 2.130434782608695343e+00
