,EPDL97 Energy [keV],S08 EPDL97 EA [cm^2],S09 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2],S08+S09+S10 EA [cm^2]
101,4.845689999999999,1.9314186232543686,1.7783376110859992,1.5742616230260056,5.284017857366374
102,4.88377,1.9290417577716703,1.7763581148700038,1.5728320194180587,5.278231892059733
103,4.92184,1.926403485494541,1.7741454779885684,1.5712142100159805,5.271763173499091
104,4.95992,1.9233585804260742,1.7715765317882541,1.5693074381825087,5.264242550396837
105,4.998,1.9203281979572981,1.7690207822293795,1.5674101716921751,5.256759151878852
106,5.03607,1.9173099176549309,1.766476029871705,1.5655224105449792,5.249308358071615
107,5.0741499999999995,1.9143061599522542,1.7639422747152307,1.563646055809549,5.241894490477034
108,5.112220000000001,1.9113120839827047,1.761419516759956,1.5617792064172566,5.234510807159918
109,5.1503000000000005,1.9083325306128456,1.7589077560058812,1.5599218623681024,5.227162148986829
110,5.18838,1.9053650794093957,1.7564091918932467,1.5580740236620858,5.219848294964728
111,5.22645,1.9024097303723544,1.7539216249818121,1.556237591367835,5.212568946722001
112,5.26453,1.8994664835017219,1.7514450552715775,1.5544087633480943,5.205320302121394
113,5.3026,1.896465146232327,1.748917898435823,1.5525419139558019,5.197924958623952
114,5.34068,1.893463808962932,1.7463885421598284,1.550673163494882,5.190525514617643
115,5.378760000000001,1.890476994293228,1.743874581965514,1.5488177205143554,5.183169296773097
116,5.41683,1.8875022817899325,1.7413716189723993,1.5469698818083388,5.175843782570671
117,5.45491,1.8845420918863276,1.7388796531804847,1.545133449514088,5.1685551945809
118,5.49299,1.881594004149132,1.73640088403001,1.5433084236316024,5.1613033118107445
119,5.53106,1.8784087139503223,1.7337109686164958,1.541312301572634,5.153431984139452
120,5.56914,1.8748603587592474,1.7307021343681823,1.539055733111686,5.144618226239116
121,5.60721,1.871316844434736,1.7276976990003488,1.5368029667879932,5.135817510223078
122,5.64529,1.86778059141007,1.7246998619532352,1.5345540026015554,5.127034455964861
123,5.68337,1.8642491792519675,1.7217042243463618,1.5323107416210007,5.11826414521933
124,5.721439999999999,1.8607226079604284,1.7187151850602083,1.5300712827777008,5.1095090757983375
125,5.75952,1.8572008775354532,1.7157305446545346,1.5278356260716563,5.100767048261644
126,5.7976,1.8536864084103228,1.7127525025695811,1.5256056725714944,5.092044583551398
127,5.83567,1.8501767801517566,1.7097788593651075,1.5233795212085879,5.0833351607254516
