#energy[keV] #eff-area[mm^2] #error_eff-area[mm^2]
12.5 43.21042956176588229632 1.40904693548074565888
13 41.75237130289001144320 1.36985704049261844992
13.5 40.83991461043380827904 1.35058957521089912064
14 38.79654905186942753536 1.31759200471572127744
14.5 37.55687334108585237504 1.29256317060387038464
15 30.84214343228995617280 1.14086726972766715136
15.5 24.82424434423677490688 1.02371530885336537600
16 13.40451119875278922496 .73312090270004478720
16.5 5.81507172171951377920 .47513396685511759104
17 2.94003130356187919360 .34035081739872082944
17.5 1.64196014161053385984 .25036285101783410432
18 1.04299146381823386368 .20081574237111913216
18.5 .63449681429682803968 .15793637545112579328
19 .44056097400138436096 .13076581277651465728
19.5 .29387653367798613248 .10577414307118967552
20 .21442406213822771200 .09015655826117476608
20.5 .15377356923404588544 .07710779518701072384
21 .11340277436251379968 .06589915724689716480
21.5 .08146871914115361536 .05569370221216245248
22 .06214187995412803072 .04869715849632764416
22.5 .05154199824685407744 .04422715143969434368
23 .03892405778249443840 .03855052314609260800
23.5 .02981472052169624576 .03376644588136018432
24 .02474071832977356544 .03108333772812972288
24.5 .02024248842896081408 .02802611799969025024
25 .01605814703579353344 .02492966213886285568
25.5 .01280616385671967744 .02214571289394404608
26 .01078679826592264960 .02039348129065892608
26.5 .00863487639764720128 .01831941231520310784
27 .00725849372006390016 .01658335622903949312
27.5 .00622561978433181440 .01568057719061221632
28 .00520651447270401792 .01418420487911772928
28.5 .00433605881853356032 .01309235650387627264
29 .00369887937799244800 .01194371895034608896
29.5 .00309269202531086336 .01092783625511618048
30 .00266452450863694336 .01009837521494922240
