,Windt Energy [keV],S08 Windt EA [cm^2],S09 Windt EA [cm^2],S10 Windt EA [cm^2],S08+S09+S10 EA [cm^2]
43,2.63727,1.981635352551252,1.817448057433595,1.5980858150669501,5.3971692250517975
44,2.67535,1.9871248952343066,1.8223660058102245,1.6021940243711699,5.411684925415701
45,2.71343,1.9909370776530946,1.8258015314650968,1.6051064615086361,5.421845070626827
46,2.7515,1.9936407016288318,1.8282649045338917,1.6072280540970254,5.429133660259749
47,2.78958,1.9954003566246785,1.829899088632208,1.6086804705285034,5.43397991578539
48,2.82766,1.9961071231429555,1.8306073083894865,1.6093838659207111,5.436098297453153
49,2.86573,1.9952551306277724,1.8299430774370078,1.6089789383030346,5.434177146367815
50,2.90381,1.9791713514704101,1.8158688593412784,1.59770750241006,5.392747713221748
51,2.9418800000000003,1.9823058125703026,1.8187039378106322,1.6001199584984702,5.401129708879405
52,2.97996,1.985950985092648,1.822003098170625,1.6029297379300467,5.41088382119332
53,3.01804,1.987466176327036,1.823426136005902,1.6042205635281799,5.415112875861118
54,3.0561100000000003,1.9881729428453132,1.8241387546436605,1.6049372664007808,5.4172489638897545
55,3.09419,1.9882407149772026,1.8242883165799801,1.605199613871388,5.4177286454285705
56,3.13226,1.9860647454568914,1.8224671800612642,1.603863162626193,5.412395088144349
57,3.17034,1.9777868636332376,1.8152706115959996,1.5981732642238191,5.391230739453056
58,3.2084200000000003,1.975993322571446,1.8137749922328028,1.5970953583119762,5.386863673116225
59,3.2464899999999997,1.9796965854925543,1.8171313380390357,1.5999602687337529,5.396788192265343
60,3.28457,1.9799797761865212,1.8174766501567148,1.6003861081063329,5.397842534449569
61,3.32265,1.9798079254235157,1.817421664150715,1.6004906668808503,5.397720256455081
62,3.3607199999999997,1.979372247432797,1.8171335374792756,1.6004070198612363,5.39691280477331
63,3.3988,1.9787913434451725,1.8167222421543965,1.6002245172729876,5.395738102872556
64,3.43687,1.9780748951937683,1.8161899776163177,1.599945060184732,5.394209932994818
65,3.4749499999999998,1.977150289680132,1.8154751595383192,1.5995192208121523,5.3921446700306035
66,3.51303,1.976150650734761,1.814694358253121,1.5990420525866273,5.389887061574509
67,3.5511,1.975078398790937,1.8138519726412026,1.5985154565767854,5.387445828008925
68,3.58918,1.9738221939176983,1.8128490278917648,1.597859587900267,5.38453080970973
69,3.62725,1.9725151599455424,1.811799894897287,1.5971694999884523,5.381484554831282
70,3.66533,1.971152456007906,1.8107045736577696,1.5964413907040857,5.378298420369761
71,3.70341,1.9696372647735179,1.8094750865636122,1.5956049205079466,5.374717271845077
72,3.74148,1.9680857670399032,1.8082148073060949,1.5947475385569039,5.371048112902902
73,3.77956,1.9664713380409626,1.8068995420425777,1.5938445309587992,5.36721541104234
74,3.81764,1.9647431486777789,1.805483102528021,1.5928635795469634,5.363089830752763
75,3.85571,1.9629859141152137,1.8040446686110638,1.591861716380224,5.358892299106501
76,3.89379,1.9611294417880962,1.8025182570845073,1.5907914147428914,5.354439113615495
77,3.93186,1.9592172994954977,1.8009434578726704,1.589683091733007,5.349843849101175
78,3.9699400000000002,1.9572736915702365,1.799340065937714,1.5885557580368468,5.345169515544797
79,4.00802,1.9552211641472954,1.7976420980724377,1.5873504805269554,5.3402137427466885
80,4.04609,1.9531541141246638,1.7959331330059614,1.5861356976739263,5.335222944804551
81,4.08417,1.950992667204043,1.7941427886506052,1.5848562784875588,5.329991734342207
82,4.12224,1.948794913784196,1.7923172532514091,1.5835521454090329,5.324664312444638
83,4.16032,1.9465608538651222,1.7904631251290932,1.5822232984383482,5.319247277432563
84,4.1983999999999995,1.944244499214468,1.7885364154788572,1.5808374194088357,5.313618334102161
85,4.236470000000001,1.9419233036972507,1.7866053069481416,1.5794496393106958,5.307978249956088
86,4.2745500000000005,1.9394883478157898,1.784577423046866,1.577982014330197,5.302047785192853
87,4.31262,1.9370533919343293,1.7825495391455901,1.576516290418326,5.2961192214982455
88,4.3507,1.9345385617545703,1.7804468742761548,1.5749935344476274,5.289978970478352
89,4.38878,1.9319995272419934,1.7783288133250392,1.5734555699279078,5.2837839104949405
90,4.42685,1.9294024023306542,1.776157965808164,1.5718776829670091,5.277438051105827
91,4.464930000000001,1.9267641300535248,1.7739519272474489,1.5702712799766965,5.2709873372776705
92,4.503010000000001,1.924087130843887,1.7717106976428938,1.5686382620255974,5.264436090512378
93,4.54108,1.9213520412354868,1.7694210803530586,1.5669672227019469,5.257740344290492
94,4.57916,1.9185951677275508,1.7671094686608237,1.5652771726920203,5.250981809080395
95,4.617229999999999,1.9157729425210068,1.7647428709625887,1.5635452991722867,5.244061112655882
96,4.65531,1.9129361947147725,1.7623652760631539,1.5618020192407878,5.237103490018714
97,4.69339,1.9100268339100848,1.7599238973967593,1.560011212593599,5.229961943900443
98,4.73146,1.9071102118055518,1.7574737209694045,1.5582128016719,5.222796734446856
99,4.76954,1.9041209767025657,1.75496196021533,1.5563649629658836,5.215447899883779
100,4.80762,1.9011244802997345,1.7524436011405353,1.554511421053984,5.208079502494254
101,4.845689999999999,1.8980602117650136,1.749865857179261,1.5526122534950229,5.200538322439297
102,4.88377,1.8949862614971658,1.7472793154570265,1.550705481661551,5.192971058615743
103,4.92184,1.8918518003972733,1.7446399871690323,1.5487549852496447,5.185246772815951
104,4.95992,1.8887003962644087,1.7419852627993577,1.5467949834946007,5.177480642558367
105,4.998,1.885495742599345,1.7392865496248837,1.5447988614356323,5.169581153659861
106,5.03607,1.882266884601464,1.7365636426077697,1.542783728690388,5.161614255899622
107,5.0741499999999995,1.8789968792377927,1.7338077439870554,1.5407419809843574,5.153546604209206
108,5.112220000000001,1.8756905673748945,1.7310166543225016,1.5386736183175407,5.145380840014937
109,5.1503000000000005,1.8723600511791791,1.7282079691360277,1.5365900471017033,5.137158067416911
