energy[keV],transmission,transmission_lb,transmission_ub
7.90000,0.0121361,0.00973384,0.0151313
8.00000,0.0142429,0.0115153,0.0176164
8.10000,0.0165572,0.0134876,0.0203253
8.20000,0.0191678,0.0157290,0.0233584
8.30000,0.0219671,0.0181494,0.0265879
8.40000,0.0251020,0.0208782,0.0301803
8.50000,0.0284521,0.0238133,0.0339944
8.60000,0.0320813,0.0270125,0.0381013
8.70000,0.0360088,0.0304951,0.0425196
8.80000,0.0401150,0.0341564,0.0471131
8.90000,0.0446362,0.0382095,0.0521438
9.00000,0.0493303,0.0424394,0.0573400
9.10000,0.0543056,0.0469447,0.0628206
9.20000,0.0595919,0.0517544,0.0686164
9.30000,0.0650185,0.0567138,0.0745393
9.40000,0.0708362,0.0620537,0.0808616
9.50000,0.0768319,0.0675801,0.0873503
9.60000,0.0829782,0.0732676,0.0939757
9.70000,0.0895312,0.0793548,0.101013
9.80000,0.0961676,0.0855421,0.108113
9.90000,0.103010,0.0919437,0.115407
10.0000,0.110161,0.0986575,0.123006
10.1000,0.117357,0.105435,0.130627
10.2000,0.124793,0.112461,0.138478
10.3000,0.132460,0.119726,0.146548
10.4000,0.140132,0.127017,0.154600
10.5000,0.148046,0.134560,0.162883
10.6000,0.156133,0.142289,0.171325
10.7000,0.164189,0.150007,0.179712
10.8000,0.172455,0.157946,0.188296
10.9000,0.180877,0.166055,0.197022
11.0000,0.189234,0.174120,0.205660
11.1000,0.197725,0.182333,0.214417
11.2000,0.206401,0.190742,0.223345
11.3000,0.214981,0.199076,0.232156
11.4000,0.223573,0.207439,0.240962
11.5000,0.232427,0.216073,0.250019
11.6000,0.241158,0.224604,0.258933
11.7000,0.249762,0.233025,0.267701
11.8000,0.258700,0.241789,0.276794
11.9000,0.267520,0.250451,0.285751
12.0000,0.276192,0.258983,0.294544
12.1000,0.284989,0.267652,0.303450
12.2000,0.293843,0.276389,0.312399
12.3000,0.302531,0.284976,0.321167
12.4000,0.311090,0.293447,0.329793
12.5000,0.319926,0.302205,0.338686
12.6000,0.328582,0.310796,0.347385
12.7000,0.337060,0.319222,0.355895
12.8000,0.345597,0.327717,0.364453
12.9000,0.354194,0.336282,0.373060
13.0000,0.362601,0.344668,0.381468
13.1000,0.370824,0.352879,0.389681
13.2000,0.379232,0.361285,0.398070
13.3000,0.387537,0.369598,0.406348
13.4000,0.395649,0.377725,0.414424
13.5000,0.403575,0.385674,0.422307
13.6000,0.411761,0.393892,0.430440
13.7000,0.419748,0.401918,0.438368
13.8000,0.427541,0.409758,0.446097
13.9000,0.435190,0.417458,0.453675
14.0000,0.443036,0.425364,0.461442
14.1000,0.450684,0.433078,0.469007
14.2000,0.458142,0.440606,0.476376
14.3000,0.465448,0.447986,0.483590
14.4000,0.472948,0.455569,0.490990
14.5000,0.480254,0.462962,0.498193
14.6000,0.487374,0.470170,0.505207
14.7000,0.494312,0.477201,0.512037
14.8000,0.501440,0.484429,0.519049
14.9000,0.508401,0.491493,0.525892
15.0000,0.515181,0.498377,0.532551
15.1000,0.521785,0.505087,0.539035
15.2000,0.528478,0.511892,0.545602
15.3000,0.535108,0.518637,0.552102
15.4000,0.541561,0.525207,0.558426
15.5000,0.547846,0.531608,0.564580
15.6000,0.554076,0.537957,0.570678
15.7000,0.560376,0.544382,0.576840
15.8000,0.566507,0.550637,0.582834
15.9000,0.572476,0.556730,0.588666
